0	96
0	9
0	21
0	34
0	60
0	20
0	12
0	35
0	22
0	15
0	39
0	75
0	76
0	50
0	71
0	41
0	82
0	93
0	7
0	92
0	61
0	55
0	89
0	95
0	91
0	30
0	46
0	44
0	97
0	87
0	2
0	14
0	25
0	62
0	81
0	69
0	24
0	18
0	27
0	68
0	3
0	6
0	23
0	26
0	29
0	36
0	37
1	16
1	18
1	29
1	15
1	78
1	2
1	5
1	7
1	11
1	21
1	23
1	26
1	41
1	43
1	48
2	68
2	73
2	52
2	17
2	88
2	20
2	75
2	76
2	10
2	42
2	58
2	28
2	55
2	96
2	29
2	44
2	77
2	91
2	54
2	45
2	82
2	39
2	59
2	23
2	48
2	63
2	94
2	36
2	78
2	92
2	97
2	71
2	18
2	67
2	30
2	61
2	50
2	57
2	15
2	46
2	70
2	7
2	11
2	24
2	25
2	37
2	40
2	43
2	47
3	54
3	13
3	49
3	68
3	86
3	37
3	58
3	30
3	67
3	29
3	60
3	6
3	12
3	39
3	55
3	34
3	74
3	97
3	98
3	65
3	7
3	91
3	26
3	43
3	42
3	76
3	77
3	78
3	89
3	17
3	15
3	22
3	10
3	33
3	99
3	23
3	27
3	79
3	83
3	69
3	45
3	35
3	21
3	32
3	8
3	85
3	9
3	24
4	22
4	33
4	53
4	62
4	28
4	15
4	60
4	70
4	77
4	21
4	5
4	24
4	54
4	66
4	51
4	41
4	14
4	98
4	72
4	25
4	19
4	30
4	59
4	88
4	76
4	9
4	99
4	52
4	96
4	69
4	80
4	6
4	65
4	37
4	71
4	10
4	11
4	12
4	13
4	29
4	40
4	47
5	82
5	61
5	14
5	96
5	22
5	89
5	29
5	74
5	47
5	71
5	12
5	55
5	32
5	97
5	62
5	16
5	73
5	27
5	87
5	24
5	30
5	77
5	95
5	54
5	5
5	92
5	21
5	90
5	40
5	75
5	57
5	69
5	64
5	13
5	7
5	9
5	23
5	34
5	42
5	43
5	44
6	39
6	71
6	27
6	31
6	10
6	33
6	86
6	30
6	66
6	14
6	17
6	55
6	85
6	90
6	6
6	35
6	48
6	9
6	89
6	15
6	46
6	56
6	97
6	87
6	95
6	11
6	54
6	65
6	77
6	23
6	93
6	64
6	36
6	18
6	8
6	29
6	32
6	40
6	41
6	42
6	43
6	45
6	47
7	58
7	81
7	88
7	21
7	37
7	35
7	80
7	74
7	86
7	48
7	39
7	90
7	85
7	79
7	8
7	76
7	25
7	20
7	53
7	24
7	89
7	40
7	98
7	16
7	7
7	46
7	57
7	31
7	41
7	9
7	10
7	17
7	26
7	30
7	34
8	35
8	38
8	64
8	95
8	98
